company,title,link
리메세(주),정교하고 실행력 있는 엔지니어 (Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53509285
(주)슈프리마,[슈프리마] Python 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53514126
㈜아이엔소프트,AX본부 개발자 (Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53496650
(주)슈프리마,[슈프리마] Python개발자(해외기술지원 AI Chatbot&데이터 운영),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53020486
큐브엔시스(주),큐브엔시스(주) Python  AI 모델 외부연계 API 서버 개발 경력,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53486538
(주)스파이어테크놀로지,"AI서비스 백엔드/서버 개발자 (JAVA, Python)",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53019128
(주)제이케이테크놀로지,임베디드 제어 소프트웨어 개발자 (Python / Raspberry Pi CM4),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53291560
(주)큐피스트,백엔드 개발자 (Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51962314
(주)아주화장품,화장품 스마트팩토리의 '두뇌'를 설계할 Python php 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53296001
(주)제이투이,[Python SI 의왕] 데이터포털 고도화 -5월투입  (1),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53438486
(주)제이투이,[PYTHON SI 잠실] 대기업 마트앱 AI 관련 클라우드 이관 (4월투,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53470978
